ID,Tipo,Color,Material,Agregado,Cantidad,Precio Unitario,Precio Total,Fecha
1,Negtoscopio,Blanco,Melamina,Sin agregado,2,920,1840,2024-02-11
2,Silla estática,Gris,Melamina,No acolchonada,9,140,1260,2024-02-18
3,Gabetero de 4 cajas,Azul,Metal,Sin cerradura,8,1380,11040,2024-03-05
4,Estante para farmacia,Azul,Metal,Sin puertas,3,3500,10500,2024-01-28
5,Casillero de 20 puertas,Negro,Melamina,Con espejo,9,2800,25200,2024-04-21
6,Estante para farmacia,Rojo,Metal,Sin puertas,10,3500,35000,2024-03-28
7,Estante de puertas corredizas,Gris,Melamina,Con puertas,6,1750,10500,2024-01-14
8,Horno domestico,Negro,Melamina,Sin ventilador,2,1350,2700,2024-04-03
9,Gabetero de 4 cajas,Azul,Metal,De oficina,9,1380,12420,2024-04-14
10,Armario de dos cuerpos,Rojo,Metal,Con espejo,3,1850,5550,2024-02-24
11,Casillero de 9 puertas,Negro,Metal,Sin espejo,3,1850,5550,2024-03-10
12,Silla de espera,Blanco,Metal,Con brazos,8,950,7600,2024-02-04
13,Silla estática,Azul,Melamina,Sin brazos,8,140,1120,2024-05-01
14,Casillero de 1 cuerpo y 1 puerta,Gris,Melamina,Con chapa,9,900,8100,2024-03-16
15,Silla estática,Negro,Melamina,Sin brazos,2,140,280,2024-02-17
16,Casillero de 12 puertas,Blanco,Metal,Sin chapa,10,2200,22000,2024-05-17
17,Estante para farmacia,Rojo,Melamina,Sin puertas,10,3500,35000,2024-04-17
18,Estante para farmacia de dos cuerpos,Blanco,Metal,De pie,6,3550,21300,2024-04-28
19,Casillero de 1 cuerpo y 4 puertas,Rojo,Metal,Con chapa,10,980,9800,2024-01-25
20,Gabetero con chapa independiente,Azul,Melamina,Sin cerradura,9,1750,15750,2024-04-01
21,Casillero de 6 puertas,Azul,Melamina,Sin chapa,7,1750,12250,2024-05-17
22,Silla estática,Negro,Melamina,Sin brazos,4,140,560,2024-01-26
23,Casillero de 12 puertas,Gris,Melamina,Sin espejo,6,2200,13200,2024-04-21
24,Estante para farmacia,Blanco,Melamina,De pared,6,3500,21000,2024-01-30
25,Silla estática,Gris,Melamina,Acolchonada,8,140,1120,2024-04-29
26,Gabetero de 2 cajas con chapa adicional,Azul,Melamina,De oficina,9,980,8820,2024-02-16
27,Casillero de 9 puertas,Azul,Metal,Sin chapa,9,1850,16650,2024-02-27
28,Silla de peluquería,Blanco,Metal,Con brazos,5,210,1050,2024-04-20
29,Silla de espera,Rojo,Melamina,Con brazos,7,950,6650,2024-05-22
30,Casillero de 6 puertas,Negro,Metal,Con espejo,10,1750,17500,2024-04-05
31,Casillero de 9 puertas,Azul,Melamina,Sin chapa,6,1850,11100,2024-02-11
32,Casillero de 1 cuerpo y 4 puertas,Negro,Melamina,Sin chapa,8,980,7840,2024-05-07
33,Silla mesedora,Azul,Metal,Sin brazos,7,500,3500,2024-05-24
34,Gabetero de 2 cajas con chapa adicional,Azul,Metal,De hogar,10,980,9800,2024-03-05
35,Mostrador para librería,Rojo,Metal,Sin agregado,3,900,2700,2024-01-16
36,Estante Archivador,Gris,Melamina,De pie,2,1250,2500,2024-02-18
37,Horno semi-industrial,Blanco,Metal,Eléctrico,1,2550,2550,2024-02-25
38,Estante Archivador,Rojo,Metal,De pared,7,1250,8750,2024-01-25
39,Estante para farmacia de dos cuerpos,Blanco,Metal,Sin puertas,9,3550,31950,2024-03-19
40,Casillero de 15 puertas,Gris,Metal,Con espejo,7,2290,16030,2024-02-24
41,Casillero de 15 puertas,Rojo,Melamina,Sin espejo,8,2290,18320,2024-05-06
42,Silla estática con brazo,Blanco,Metal,Acolchonada,7,320,2240,2024-02-04
43,Escritorio ejecutivo de siete cajas,Azul,Metal,Con chapas,1,1500,1500,2024-02-10
44,Broastera simple,Negro,Metal,Sin agregado,1,1100,1100,2024-01-10
45,Gabetero con chapa independiente,Azul,Melamina,Con cerradura,1,1750,1750,2024-01-10
46,Casillero de cuatro puertas,Gris,Melamina,Con espejo,10,1550,15500,2024-03-11
47,Casillero de 6 puertas,Negro,Metal,Sin espejo,9,1750,15750,2024-03-15
48,Casillero de 1 cuerpo y 4 puertas,Negro,Metal,Con chapa,10,980,9800,2024-01-28
49,Casillero de 12 puertas,Azul,Melamina,Con chapa,9,2200,19800,2024-02-24
50,Casillero de 15 puertas,Azul,Melamina,Con espejo,8,2290,18320,2024-04-05
51,Silla de espera,Negro,Melamina,Con brazos,6,950,5700,2024-01-14
52,Estante Archivador,Gris,Metal,De pared,6,1250,7500,2024-02-23
53,Archivador de Chapas Individuales,Azul,Melamina,Sin agregado,1,1400,1400,2024-04-18
54,Gabetero de 2 cajas con chapa adicional,Blanco,Metal,Con cerradura,9,980,8820,2024-05-30
55,Silla mesedora,Azul,Metal,Con brazos,8,500,4000,2024-02-05
56,Gabetero con chapa independiente,Blanco,Melamina,De oficina,3,1750,5250,2024-04-22
57,Casillero de 20 puertas,Blanco,Melamina,Sin chapa,10,2800,28000,2024-02-05
58,Góndolas para supermercados,Blanco,Melamina,Sin agregado,3,1580,4740,2024-02-17
59,Alacena con pedestal,Negro,Melamina,Sin agregado,3,1600,4800,2024-05-28
60,Casillero de 1 cuerpo y 4 puertas,Negro,Metal,Sin chapa,6,980,5880,2024-04-21
61,Casillero de cuatro puertas,Blanco,Metal,Sin espejo,10,1550,15500,2024-02-04
62,Casillero de 15 puertas,Gris,Metal,Sin chapa,9,2290,20610,2024-04-15
63,Estante Archivador,Azul,Metal,De pie,7,1250,8750,2024-02-24
64,Vitrina para farmacia,Azul,Metal,De vidrio,3,1100,3300,2024-03-13
65,Gabetero de 2 cajas sin chapa,Negro,Melamina,Con cerradura,7,830,5810,2024-02-02
66,Archivero,Gris,Metal,Sin agregado,2,1800,3600,2024-05-21
67,Estante para farmacia,Rojo,Melamina,De pie,6,3500,21000,2024-04-28
68,Biombo,Blanco,Metal,Sin agregado,2,450,900,2024-02-02
69,Silla estática,Negro,Metal,No acolchonada,6,140,840,2024-05-26
70,Vitrina para farmacia,Rojo,Melamina,De madera,2,1100,2200,2024-05-08
71,Estante para farmacia de dos cuerpos,Blanco,Melamina,De pared,9,3550,31950,2024-01-20
72,Casillero de 9 puertas,Rojo,Melamina,Con chapa,7,1850,12950,2024-05-12
73,Gabetero con chapa independiente,Gris,Metal,De hogar,6,1750,10500,2024-02-07
74,Casillero de dos puertas,Blanco,Melamina,Sin chapa,7,1850,12950,2024-02-27
75,Casillero de 1 cuerpo y 4 puertas,Rojo,Melamina,Sin chapa,6,980,5880,2024-03-25
76,Estante para farmacia de dos cuerpos,Negro,Metal,De pared,6,3550,21300,2024-05-05
77,Casillero de 6 puertas,Rojo,Metal,Sin chapa,4,1750,7000,2024-03-21
78,Gabetero de 2 cajas sin chapa,Negro,Melamina,De hogar,7,830,5810,2024-01-28
79,Mesa de instrumentación,Rojo,Metal,Con cajones,3,650,1950,2024-01-15
80,Gabetero con chapa independiente,Negro,Metal,De hogar,8,1750,14000,2024-02-27
81,Gabetero de 2 cajas sin chapa,Rojo,Melamina,De oficina,10,830,8300,2024-05-08
82,Silla mesedora,Negro,Metal,Acolchonada,9,500,4500,2024-05-01
83,Casillero de dos puertas,Gris,Metal,Sin chapa,4,1850,7400,2024-05-05
84,Broastera simple,Azul,Metal,Sin agregado,1,1100,1100,2024-03-24
85,Casillero de 9 puertas,Blanco,Metal,Con espejo,8,1850,14800,2024-03-04
86,Casillero de 1 cuerpo y 4 puertas,Negro,Melamina,Con chapa,9,980,8820,2024-04-28
87,Casillero de cuatro puertas,Rojo,Metal,Sin espejo,1,1550,1550,2024-01-23
88,Casillero de 12 puertas,Azul,Metal,Con chapa,9,2200,19800,2024-01-27
89,Pedestal porta sueros,Rojo,Metal,Sin agregado,1,410,410,2024-02-07
90,Casillero de 9 puertas,Blanco,Melamina,Sin espejo,7,1850,12950,2024-02-01
91,Silla estática con brazo,Gris,Melamina,No acolchonada,7,320,2240,2024-01-22
92,Gabetero de 3 cajas,Azul,Melamina,De hogar,7,1250,8750,2024-04-19
93,Estanteria tipo vitrin,Azul,Metal,De pie,9,650,5850,2024-05-15
94,Gabetero de 2 cajas sin chapa,Negro,Metal,Con cerradura,8,830,6640,2024-01-22
95,Estanteria tipo vitrin,Blanco,Metal,Sin puertas,8,650,5200,2024-03-17
96,Silla mesedora,Gris,Melamina,Con brazos,8,500,4000,2024-05-19
97,Casillero de 9 puertas,Negro,Melamina,Sin espejo,9,1850,16650,2024-05-15
98,Silla estática,Rojo,Melamina,Con brazos,8,140,1120,2024-05-18
